OBJECTID,Station Identification,Observation Date/Time,Station Name,Country Name,Station Elevation (Meters),Air Temperature (°F),Dew Point Temperature (°F),Relative Humidity (%),Wind Origin (Degrees),Wind Speed (km/h),Wind Gust (km/h),Wind Chill (°F),Horizontal Visibility (Meters),Altimeter Pressure (Millibars),Sky Conditions,Weather Conditions,Remarks,Heat Feels Like (°F),Location Latitude (DD),Location Longitude (DD),x,y
29,KOLM,11/10/2019 2:02:00 AM,Olympia,"Washington, United States Of America",58,50,48,93,230,7,0,48.4,8000,1022.7,"Few Clouds at 120 meters AGL, Broken Clouds at 240 meters AGL, Overcast Cloud Deck at 580 meters AGL",Mist,,,46.97,-122.9,-122.90000000006,46.9700000001952
30,KANE,11/10/2019 2:01:00 AM,Minneapls/Blaine,"Minnesota, United States Of America",278,33.8,33.8,100,310,11,0,27.7,16000,1012.9,"Scattered Clouds at 270 meters AGL, Overcast Cloud Deck at 3400 meters AGL",No significant weather present at this time.,,,45.15,-93.22,-93.2199999995602,45.150000000163
31,CYED,11/10/2019 2:01:00 AM,Edmonton/Namao(M,"Alberta, Canada",688,14,14,100,330,7,0,6.4,2800,1028.1,Obscured Sky,Light Snow,,,53.67,-113.47,-113.469999999885,53.6699999998313
32,MMSD,11/10/2019 2:01:00 AM,San Jose Del Cab,Mexico,109,80.6,55.4,42,280,11,0,,19000,1013.2,"Scattered Clouds at 3700 meters AGL, Broken Clouds at 7600 meters AGL",No significant weather present at this time.,,80.5,23.13,-109.7,-109.699999999801,23.1300000000449
33,YMHB,11/10/2019 2:01:00 AM,Hobart/Tasmania,Australia,27,62.6,32,32,240,30,48,,10000,1006.9,Ceiling and Visibility are OK,No significant weather present at this time.,,,-42.82,147.52,147.519999999787,-42.81999999977
34,CYZE,11/10/2019 2:01:00 AM,Gore Bay Airport,"Ontario, Canada",193,33.8,33.8,100,280,15,0,26.3,4800,1008.1,"Scattered Clouds at 180 meters AGL, Overcast Cloud Deck at 340 meters AGL",Mist,,,45.87,-82.57,-82.5699999999946,45.870000000096
35,PAEL,11/10/2019 2:01:00 AM,Elfin Cove,"Alaska, United States Of America",3,37.4,19.4,48,,0,0,,11000,1019.3,Scattered Clouds at 1800 meters AGL,No significant weather present at this time.,,,58.2,-136.35,-136.350000000334,58.1999999999591
36,SBSP,11/10/2019 2:01:00 AM,Sao Paulo/Congon,Brazil,803,68,64.4,88,130,11,0,,10000,1016.9,"Scattered Clouds at 210 meters AGL, Overcast Cloud Deck at 300 meters AGL",No significant weather present at this time.,,,-23.62,-46.63,-46.6300000000867,-23.6199999996129
37,SBBE,11/10/2019 2:00:00 AM,Belem/Val De Cae,Brazil,16,75.2,73.4,94,80,6,0,,10000,1009.9,Ceiling and Visibility are OK,No significant weather present at this time.,,,-1.37,-48.47,-48.4699999995511,-1.36999999970677
38,MWCR,11/10/2019 2:00:00 AM,Grnd Cayman/Owen,"Grand Cayman Is, Cayman Islands",3,82.4,77,84,40,6,0,,10000,1012.9,Few Clouds at 610 meters AGL,No significant weather present at this time.,,90.9,19.3,-81.37,-81.3699999995628,19.2999999998551
39,CYUY,11/10/2019 2:00:00 AM,Rouyn Airport,"Quebec, Canada",301,26.6,24.8,93,230,7,0,21.1,4800,1004,"Scattered Clouds at 370 meters AGL, Overcast Cloud Deck at 610 meters AGL",Light Snow,,,48.2,-78.82,-78.819999999768,48.2000000000615
40,CWZZ,11/10/2019 2:00:00 AM,Saglek (Bay),"Newfoundland, Canada",483,12.2,6.8,78,290,56,0,-10.5,,989.8,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,58.32,-62.57,-62.5699999996844,58.3200000002121
41,OPNH,11/10/2019 2:00:00 AM,Nawabshah,Pakistan,38,57.2,53.6,88,0,0,0,,3000,1005.9,Few Clouds at 1100 meters AGL,Mist,,,26.22,68.37,68.3699999996756,26.2199999998714
42,SCVM,11/10/2019 2:00:00 AM,Vina Del Mar,Chile,141,55.4,53.6,94,0,0,0,,10000,1013.9,Broken Clouds at 370 meters AGL,No significant weather present at this time.,,,-32.95,-71.48,-71.4799999999713,-32.9500000002974
43,MDLR,11/10/2019 2:00:00 AM,La Romana Int. A,Dominican Republic,8,75.2,75.2,100,0,0,0,,10000,1010.9,Few Clouds at 550 meters AGL,No significant weather present at this time.,,,18.45,-68.92,-68.9200000002478,18.4500000000052
44,MDSD,11/10/2019 2:00:00 AM,Caucedo/De Las,Dominican Republic,18,77,75.2,94,0,0,0,,10000,1011.9,"Few Clouds at 550 meters AGL, Scattered Clouds at 9100 meters AGL",No significant weather present at this time.,,,18.42,-69.67,-69.6700000002931,18.419999999886
45,MDPC,11/10/2019 2:00:00 AM,Punta Cana,Dominican Republic,12,77,73.4,89,0,0,0,,10000,1012.9,Few Clouds at 550 meters AGL,No significant weather present at this time.,,,18.57,-68.37,-68.3699999996756,18.5699999996925
46,MDST,11/10/2019 2:00:00 AM,Santiago Intl A,Dominican Republic,184,78.8,73.4,84,90,7,0,,10000,1011.9,"Few Clouds at 610 meters AGL, Broken Clouds at 610 meters AGL",No significant weather present at this time.,,,19.4,-70.6,-70.5999999999541,19.4000000003811
47,MDPP,11/10/2019 2:00:00 AM,Puerto Plata In,Dominican Republic,5,78.8,75.2,89,0,0,0,,10000,1012.9,Few Clouds at 550 meters AGL,No significant weather present at this time.,,,19.75,-70.57,-70.5700000001678,19.7499999998548
48,FMMI,11/10/2019 2:00:00 AM,Antananarivo/Iva,"Madagascar, Comoros",1276,64.4,60.8,88,80,11,0,,10000,1018.9,"Few Clouds at 520 meters AGL, Broken Clouds at 610 meters AGL",No significant weather present at this time.,,,-18.8,47.47,47.470000000389,-18.8000000003953
49,SBMN,11/10/2019 2:00:00 AM,Manaus/Ponta Pel,Brazil,84,77,75.2,94,200,4,0,,10000,1008.9,"Broken Clouds at 180 meters AGL, Broken Clouds at 2700 meters AGL",No significant weather present at this time.,,,-3.13,-59.97,-59.970000000246,-3.12999999961881
50,WADL,11/10/2019 2:00:00 AM,Bandara,Indonesia,97,89.6,71.6,56,90,13,0,,9000,1011.9,Few Clouds at 490 meters AGL,No significant weather present at this time.,,96.6,-8.75,116.28,116.279999999624,-8.7499999998508
51,SBEG,11/10/2019 2:00:00 AM,Eduardo Gomes In,Brazil,2,75.2,75.2,100,320,6,0,,10000,1008.9,"Few Clouds at 300 meters AGL, Broken Clouds at 2700 meters AGL",No significant weather present at this time.,,,-3.02,-60.03,-60.0299999998184,-3.01999999970415
52,SBCY,11/10/2019 2:00:00 AM,Cuiaba/Marechal,Brazil,182,82.4,69.8,66,220,6,0,,10000,1009.9,Ceiling and Visibility are OK,No significant weather present at this time.,,86.3,-15.65,-56.12,-56.1199999998337,-15.65000000027
53,MPPA,11/10/2019 2:00:00 AM,Panama Pacifico,Panama,13,75.2,75.2,100,0,0,0,,10000,1008.9,"Few Clouds at 490 meters AGL, Scattered Clouds at 2400 meters AGL",No significant weather present at this time.,,,8.92,-79.6,-79.5999999995996,8.92000000008732
54,MRLB,11/10/2019 2:00:00 AM,Liberia/Tomas G,Costa Rica,82,78.8,73.4,84,70,11,0,,10000,1010.8,Ceiling and Visibility are OK,No significant weather present at this time.,,,10.6,-85.55,-85.5500000003184,10.5999999999944
55,GVAC,11/10/2019 2:00:00 AM,Sal Isl/Amilcar,Cape Verde,55,75.2,66.2,74,40,20,0,,10000,1014.9,"Broken Clouds at 400 meters AGL, Broken Clouds at 6100 meters AGL",No significant weather present at this time.,,78.4,16.72,-22.93,-22.930000000092,16.7200000002817
56,SBSJ,11/10/2019 2:00:00 AM,Sao Jose Dos Cam,Brazil,646,71.6,66.2,83,150,13,0,,10000,1016.9,Scattered Clouds at 1200 meters AGL,No significant weather present at this time.,,,-23.22,-45.87,-45.8700000001127,-23.2200000000548
57,NGTA,11/10/2019 2:00:00 AM,Tarawa Kiribati,"Fiji/Tonga/Tuvalu, Fiji",2,87.8,75.2,66,130,19,0,,10000,1006.9,"Few Clouds at 610 meters AGL, Scattered Clouds at 9100 meters AGL",No significant weather present at this time.,,97.6,1.37,173.13,173.129999999646,1.36999999970677
58,SBRP,11/10/2019 2:00:00 AM,Leite Lopes/Ribe,Brazil,549,77,69.8,79,130,13,0,,10000,1011.9,Ceiling and Visibility are OK,No significant weather present at this time.,,80.7,-21.12,-47.77,-47.7700000000478,-21.1200000002445
59,KATP,11/10/2019 2:00:00 AM,Atlantis    Oilp,"Louisiana, United States Of America",62,71.6,57.2,61,70,31,0,,16000,1020.3,Broken Clouds at 1200 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,76.2,27.2,-90.03,-90.0299999998345,27.2000000000098
60,ZMUB,11/10/2019 2:00:00 AM,Ulan-Bator,"China, Madagascar",1330,32,19.4,59,220,15,0,24.1,10000,1009.9,Few Clouds at 1000 meters AGL,No significant weather present at this time.,,,47.83,106.78,106.779999999948,47.8300000001219
61,SBAR,11/10/2019 2:00:00 AM,Aracaju/Santa Ma,Brazil,9,80.6,71.6,74,80,22,0,,10000,1012.9,Few Clouds at 580 meters AGL,No significant weather present at this time.,,84.6,-10.97,-37.07,-37.0699999999403,-10.969999999603
62,SBKP,11/10/2019 2:00:00 AM,Campinas/Viracop,Brazil,661,71.6,66.2,83,130,24,0,,10000,1014.9,Ceiling and Visibility are OK,No significant weather present at this time.,,,-23,-47.12,-47.1200000001882,-23.0000000001123
63,SBPV,11/10/2019 2:00:00 AM,Porto Velho(Cv/M,Brazil,88,75.2,73.4,94,170,7,0,,1000,1009.9,"Few Clouds at 150 meters AGL, Few Clouds at 610 meters AGL, Broken Clouds at 610 meters AGL",Thunderstorms with Heavy Rain,,,-8.72,-63.9,-63.9000000000882,-8.72000000023501
64,NFNA,11/10/2019 2:00:00 AM,Nausori Fiji,"Fiji/Tonga/Tuvalu, Fiji",5,77,75.2,94,10,20,0,,8000,1009.9,"Scattered Clouds at 270 meters AGL, Scattered Clouds at 490 meters AGL, Broken Clouds at 1300 meters AGL",Thunderstorms with Light Rain,,,-18.05,178.57,178.570000000405,-18.0499999997108
65,SBPJ,11/10/2019 2:00:00 AM,Palmas,Brazil,236,77,73.4,89,0,0,0,,10000,1009.9,Ceiling and Visibility are OK,No significant weather present at this time.,,,-10.28,-48.37,-48.3700000002637,-10.2799999997669
66,LEMO,11/10/2019 2:00:00 AM,Moron (Sp-Usafb),Spain,88,57.2,51.8,82,230,13,0,,10000,1019.9,Few Clouds at 490 meters AGL,No significant weather present at this time.,,,37.17,-5.62,-5.62000000037552,37.1699999997098
67,VOBM,11/10/2019 2:00:00 AM,Belgaum,India,758,64.4,64.4,100,0,0,0,,2000,1014.9,Broken Clouds at 180 meters AGL,Mist,,,15.85,74.62,74.6200000000532,15.8500000002123
68,CYLL,11/10/2019 2:00:00 AM,Lloydminster Arp,"Alberta, Canada",669,14,8.6,79,310,15,0,1.9,8000,1026.7,"Broken Clouds at 1300 meters AGL, Overcast Cloud Deck at 2300 meters AGL",Light Snow,,,53.32,-110.07,-110.06999999986,53.3199999997717
69,MPDA,11/10/2019 2:00:00 AM,David/Enrique M,Panama,27,77,75.2,94,0,4,0,,7000,1009.9,Broken Clouds at 430 meters AGL,Thunderstorms with Light Rain,,,8.4,-82.43,-82.430000000094,8.40000000038538
70,SGES,11/10/2019 2:00:00 AM,Guarany,Paraguay,849,73.4,68,83,240,37,0,,10000,1012.9,"Overcast Cloud Deck at 760 meters AGL, Few Clouds at 1200 meters AGL",Thunderstorms with Light Rain,,,-25.45,-54.85,-54.8499999999007,-25.4499999997532
71,SGAS,11/10/2019 2:00:00 AM,Asuncion/Silvio,Paraguay,101,73.4,69.8,89,180,20,0,,10000,1011.9,"Scattered Clouds at 820 meters AGL, Few Clouds at 1200 meters AGL, Overcast Cloud Deck at 2100 meters AGL",Thunderstorms in vicinity,,,-25.25,-57.52,-57.5199999997386,-25.2500000001886
72,SBGO,11/10/2019 2:00:00 AM,Goiania/Santa Ge,Brazil,747,75.2,66.2,74,250,9,0,,10000,1014.9,"Few Clouds at 1100 meters AGL, Scattered Clouds at 3000 meters AGL",No significant weather present at this time.,,78.4,-16.62,-49.22,-49.2199999995964,-16.6199999999761
73,OIAG,11/10/2019 2:00:00 AM,Agha Jari,"Iran, Islamic Rep, Iran (Islamic Republic Of)",29,59,44.6,59,0,0,0,,10000,1013.9,Ceiling and Visibility are OK,No significant weather present at this time.,,,30.77,49.67,49.669999999983,30.7700000001847
74,HSSS,11/10/2019 2:00:00 AM,Khartoum (Civ/Mi,Sudan,380,75.2,33.8,22,360,19,0,,10000,1010.9,Ceiling and Visibility are OK,No significant weather present at this time.,,74.1,15.58,32.53,32.5299999999534,15.5799999999941
75,MGGT,11/10/2019 2:00:00 AM,Guatemala/La Au,Guatemala,1509,64.4,53.6,68,360,33,0,,10000,1026.9,"Few Clouds at 2100 meters AGL, Few Clouds at 6100 meters AGL",No significant weather present at this time.,,,14.57,-90.53,-90.5299999998647,14.5700000000249
76,KMVH,11/10/2019 2:00:00 AM,N Bar Ranch,"Montana, United States Of America",1355,39.2,35.6,87,50,7,0,35.8,16000,1020,"Broken Clouds at 430 meters AGL, Broken Clouds at 610 meters AGL, Overcast Cloud Deck at 2300 meters AGL",Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,46.83,-108.93,-108.929999999899,46.8299999997878
77,LEJR,11/10/2019 2:00:00 AM,Jerez (Civ/Mil),Spain,30,57.2,53.6,88,290,13,0,,10000,1020.9,Ceiling and Visibility are OK,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,36.75,-6.07,-6.0699999998637,36.7500000000508
78,GVNP,11/10/2019 2:00:00 AM,Praia Intl,Cape Verde,70,77,66.2,69,30,26,0,,10000,1013.9,"Few Clouds at 490 meters AGL, Scattered Clouds at 6100 meters AGL",No significant weather present at this time.,,79.8,14.95,-23.48,-23.4799999997659,14.9499999999031
79,VTSB,11/10/2019 2:00:00 AM,Surat Thani,Thailand,11,77,77,100,0,4,0,,6000,1013.9,Scattered Clouds at 120 meters AGL,No significant weather present at this time.,,,9.12,99.13,99.1299999996657,9.11999999962453
80,FQCH,11/10/2019 2:00:00 AM,Chimoio,Mozambique,732,68,68,100,,0,0,,10000,1019.9,Broken Clouds at 460 meters AGL,No significant weather present at this time.,,,-19.15,33.43,33.4299999998281,-19.1499999997064
81,VEJS,11/10/2019 2:00:00 AM,Jamshedpur(Priva,India,142,75.2,69.8,83,330,4,0,,3000,1010.9,"Scattered Clouds at 460 meters AGL, Broken Clouds at 3000 meters AGL",Haze,,,22.82,86.17,86.1700000003918,22.819999999994
82,WAJJ,11/10/2019 2:00:00 AM,Jayapura/Sentani,Indonesia,88,75.2,71.6,89,0,0,0,,8000,1009.9,Few Clouds at 340 meters AGL,Light Rain,,,-2.58,140.52,140.520000000262,-2.57999999973719
83,BKPR,11/10/2019 2:00:00 AM,Prishtina,Yugoslavia,576,51.8,46.4,82,210,7,0,,10000,1008.9,Broken Clouds at 1200 meters AGL,Light Rain,,,42.58,21.03,21.0300000001568,42.5799999996829
84,ORBI,11/10/2019 2:00:00 AM,Baghdad Intl,Iraq,35,50,41,71,300,4,0,50.4,7000,1015.9,Sky Clear below 3700 meters AGL,No significant weather present at this time.,,,33.27,44.23,44.2300000001213,33.2699999998836
85,WIII,11/10/2019 2:00:00 AM,Soekarno-Hatta I,Indonesia,8,87.8,69.8,55,0,6,0,,10000,1011.9,Few Clouds at 610 meters AGL,No significant weather present at this time.,,92.6,-6.13,106.67,106.669999999834,-6.12999999988743
86,VQPR,11/10/2019 2:00:00 AM,Paro,Bhutan,2235,39.2,33.8,81,360,11,0,34.2,10000,1026.9,Few Clouds at 910 meters AGL,No significant weather present at this time.,,,27.4,89.43,89.4299999996186,27.3999999998001
87,SBSN,11/10/2019 2:00:00 AM,Santarem Intl Ar,Brazil,72,77,75.2,94,190,4,0,,10000,1007.9,Ceiling and Visibility are OK,No significant weather present at this time.,,,-2.42,-54.78,-54.7800000003995,-2.42000000000793
88,SBVT,11/10/2019 2:00:00 AM,Vitoria/Goiabeir,Brazil,4,77,71.6,83,10,13,0,,10000,1013.9,Few Clouds at 760 meters AGL,No significant weather present at this time.,,,-20.27,-40.27,-40.2699999995946,-20.2699999996457
89,SBPL,11/10/2019 2:00:00 AM,Petrolina Airpor,Brazil,375,86,57.2,38,130,22,0,,10000,1010.9,Ceiling and Visibility are OK,No significant weather present at this time.,,85,-9.37,-40.57,-40.5700000001517,-9.3699999999016
90,MROC,11/10/2019 2:00:00 AM,Juan Santamaria,Costa Rica,920,73.4,62.6,69,110,15,0,,10000,1015.6,Ceiling and Visibility are OK,No significant weather present at this time.,,77,10,-84.22,-84.2199999999146,10.0000000003719
91,LRTZ,11/10/2019 2:00:00 AM,,,49,57.2,55.4,94,0,6,0,,5000,1014.9,"Scattered Clouds at 300 meters AGL, Broken Clouds at 6100 meters AGL",Mist,,,43.98,28.62,28.6199999999686,43.9799999997786
92,LRCT,11/10/2019 2:00:00 AM,Campia Turzii,Romania,331,42.8,42.8,100,0,4,0,42.4,10000,1011.9,"Broken Clouds at 1800 meters AGL, Broken Clouds at 4600 meters AGL",No significant weather present at this time.,,,46.5,23.88,23.8799999996104,46.4999999997044
93,LRBO,11/10/2019 2:00:00 AM,,,103,48.2,46.4,93,0,6,0,47.2,10000,1012.9,Clear Skies,No significant weather present at this time.,,,45.22,26.97,26.9700000000486,45.2200000001744
94,SBJP,11/10/2019 2:00:00 AM,Joao Pessoa/Pres,Brazil,66,77,71.6,83,140,11,0,,10000,1012.9,Few Clouds at 610 meters AGL,No significant weather present at this time.,,,-7.15,-34.95,-34.9499999997762,-7.14999999976838
95,OPST,11/10/2019 2:00:00 AM,Sialkot Airport,Pakistan,247,59,55.4,88,0,0,0,,2000,1015.9,Sky Clear below 3700 meters AGL,Mist,,,32.53,74.37,74.3700000000381,32.5299999999634
96,SBFI,11/10/2019 2:00:00 AM,Foz Do Iguacu Ar,Brazil,243,71.6,68,88,210,24,0,,2000,1012.9,"Scattered Clouds at 460 meters AGL, Broken Clouds at 910 meters AGL, Few Clouds at 1200 meters AGL",Thunderstorms with Rain,,,-25.6,-54.48,-54.4799999998424,-25.5999999997467
97,SBCG,11/10/2019 2:00:00 AM,Campo Grande Int,Brazil,567,75.2,68,78,350,17,0,,10000,1011.9,"Few Clouds at 1200 meters AGL, Broken Clouds at 3000 meters AGL",No significant weather present at this time.,,78.6,-20.47,-54.67,-54.6700000002851,-20.4700000001911
98,SBLO,11/10/2019 2:00:00 AM,Londrina Airport,Brazil,570,75.2,68,78,0,0,0,,10000,1012.9,Scattered Clouds at 1200 meters AGL,No significant weather present at this time.,,78.6,-23.32,-51.12,-51.1200000004299,-23.3199999996475
99,GVSV,11/10/2019 2:00:00 AM,S. Pedro,Cape Verde,20,77,64.4,65,60,39,0,,10000,1014.9,"Few Clouds at 670 meters AGL, Broken Clouds at 6100 meters AGL",No significant weather present at this time.,,79.5,16.83,-25.07,-25.0700000001135,16.8299999999585
100,ORSU,11/10/2019 2:00:00 AM,Sulaymaniyah,Iraq,761,50,23,34,150,9,0,47.8,10000,1022.9,Ceiling and Visibility are OK,No significant weather present at this time.,,,35.57,45.32,45.3200000004387,35.5699999997924
